individual,cell,type,gender,dp,path,alpha,beta,note
CA,CA-blood-bulk,bulk,female,86.96,bams/CA-blood-bulk.bam,,,
CA,CA-CA2-Imm1-MOM-DNA,mda,female,32.66,bams/CA-CA2-Imm1-MOM-DNA.bam,0.759774084234062,0.774366989127179,
CA,CA-CA2-Immu1-MDA,mda,female,33.02,bams/CA-CA2-Immu1-MDA.bam,0.581268880843814,0.58781696125995,
CA,CA-CA2-Immu2-MDA,mda,female,23.61,bams/CA-CA2-Immu2-MDA.bam,0.52348643692117,0.524956713652993,
CA,CA-CA2-Immu3-MDA,mda,female,27.63,bams/CA-CA2-Immu3-MDA.bam,0.631430188140355,0.645322804532859,
CA,CA-CA2-Immu4-MDA,mda,female,29.4,bams/CA-CA2-Immu4-MDA.bam,0.618527674307113,0.620273840448389,
CA,CA-CA2-Immu5-MDA,mda,female,26.06,bams/CA-CA2-Immu5-MDA.bam,0.592451456574055,0.59493613824942,
CA,CA-CA2-P15-1-MDA,mda,female,29.04,bams/CA-CA2-P15-1-MDA.bam,0.56879956089607,0.567586618087052,
CA,CA-CA2-P15-10-MDA,mda,female,30.69,bams/CA-CA2-P15-10-MDA.bam,0.540060144846823,0.555077646544496,
CA,CA-CA2-P15-4-MDA,mda,female,30.68,bams/CA-CA2-P15-4-MDA.bam,0.624773719843768,0.63338926977521,
CA,CA-CA2-P15-6-MDA,mda,female,28.88,bams/CA-CA2-P15-6-MDA.bam,0.599253320408755,0.60824996310946,
CA,CA-CA2-P15-7-MDA,mda,female,28.8,bams/CA-CA2-P15-7-MDA.bam,0.579215886585032,0.575774795290767,
CA,CA-CA2-P15-8-MDA,mda,female,19.33,bams/CA-CA2-P15-8-MDA.bam,0.505186144784833,0.510315727747828,
CA,CA-Nor2-Basal1-MOM-DNA,mda,female,27.62,bams/CA-Nor2-Basal1-MOM-DNA.bam,0.19577169713005,0.199430887043926,
CA,CA-Nor2-Basal2-MOM-DNA,mda,female,29.3,bams/CA-Nor2-Basal2-MOM-DNA.bam,0.445087567026107,0.447312183412835,
CA,CA-Nor2-Imm1-MOM-DNA,mda,female,36.13,bams/CA-Nor2-Imm1-MOM-DNA.bam,0.825585686748955,0.839449188685452,
CA,CA-Nor2-Imm2-MOM-DNA,mda,female,24.29,bams/CA-Nor2-Imm2-MOM-DNA.bam,0.80435445082709,0.810819045590135,
CA,CA-Nor2-LP4-MOM-DNA,mda,female,28.24,bams/CA-Nor2-LP4-MOM-DNA.bam,2.47448578658974,2.48700018047256,
CA,CA-Nor2-Lum3-MOM-DNA,mda,female,33.56,bams/CA-Nor2-Lum3-MOM-DNA.bam,0.157624016627031,0.155463813298734,
