individual,cell,type,dp,path
CA,CA-blood-bulk,bulk,86.96,bams/CA-blood-bulk.bam
CA,CA-CA2-Imm1-MOM-DNA,mda,32.66,bams/CA-CA2-Imm1-MOM-DNA.bam
CA,CA-CA2-Immu1-MDA,mda,33.02,bams/CA-CA2-Immu1-MDA.bam
CA,CA-CA2-Immu2-MDA,mda,23.61,bams/CA-CA2-Immu2-MDA.bam
CA,CA-CA2-Immu3-MDA,mda,27.63,bams/CA-CA2-Immu3-MDA.bam
CA,CA-CA2-Immu4-MDA,mda,29.4,bams/CA-CA2-Immu4-MDA.bam
CA,CA-CA2-Immu5-MDA,mda,26.06,bams/CA-CA2-Immu5-MDA.bam
CA,CA-CA2-P15-1-MDA,mda,29.04,bams/CA-CA2-P15-1-MDA.bam
CA,CA-CA2-P15-10-MDA,mda,30.69,bams/CA-CA2-P15-10-MDA.bam
CA,CA-CA2-P15-4-MDA,mda,30.68,bams/CA-CA2-P15-4-MDA.bam
CA,CA-CA2-P15-6-MDA,mda,28.88,bams/CA-CA2-P15-6-MDA.bam
CA,CA-CA2-P15-7-MDA,mda,28.8,bams/CA-CA2-P15-7-MDA.bam
CA,CA-CA2-P15-8-MDA,mda,19.33,bams/CA-CA2-P15-8-MDA.bam
CA,CA-Nor2-Basal1-MOM-DNA,mda,27.62,bams/CA-Nor2-Basal1-MOM-DNA.bam
CA,CA-Nor2-Basal2-MOM-DNA,mda,29.3,bams/CA-Nor2-Basal2-MOM-DNA.bam
CA,CA-Nor2-Imm1-MOM-DNA,mda,36.13,bams/CA-Nor2-Imm1-MOM-DNA.bam
CA,CA-Nor2-Imm2-MOM-DNA,mda,24.29,bams/CA-Nor2-Imm2-MOM-DNA.bam
CA,CA-Nor2-LP4-MOM-DNA,mda,28.24,bams/CA-Nor2-LP4-MOM-DNA.bam
CA,CA-Nor2-Lum3-MOM-DNA,mda,33.56,bams/CA-Nor2-Lum3-MOM-DNA.bam
